Title;Rating Number;Rating Word;Review;Author Information
How to Survive Review;7;Good; How to Survive doesn't push any boundaries, and it ends sooner than it should, but it does have a decent amount of solid play punctuated by bursts of excellence.;An experienced killer of zombies, Daniel Starkey learned how to survive and tackled the undead hordes.
WRC 4: FIA World Rally Championship Review;6;Fair; WRC 4 continues this series' regular improvements with challenging and satisfying driving, but remains a largely unremarkable off-road racer.;Joseph Barron is a master of speed...in his living room. He's the sort of guy who owns three sim-racing steering wheels, but doesn't have an actual car. He prefers his racing cars with big wings and open wheels, but he's pretty good at going sideways in virtual mud too.
WWE 2K14 Review;6;Fair; WWE 2K14 sports impressive presentation that faithfully recreates the best moment in WrestleMania history, but that doesn't make the act of wrestling any more exciting.;After spending hours with the likes of WWF Royal Rumble and Wrestlefest growing up, Tom hasn't touched a wrestling game in years. Tom spent most of his time in WrestleMania mode, though he went online and tinkered with the creation elements as well.
Football Manager 2014 Review;9;Superb; Football Manager 2014 is the most exhaustive, most approachable entry in the series to date.;John Robertson has lost far too many hours, over far too many years, playing Football Manager. With 50 hours of playing clocked up for this review, he has still failed to return Portsmouth to the Premier League.
Mario & Sonic at the Sochi 2014 Olympic Winter Games Review;5;Mediocre; Mario & Sonic's latest outing has the occasional fun moment, but fails to secure a podium finish.;Martin Gaston has been known to enjoy a good collection of minigames late on a Friday night, and as a child loved Sonic the Hedgehog more than life itself. He played this latest collection of Olympic Winter games for 10 hours, forcing friends and coworkers to join in.
Call of Duty: Ghosts Review;8;Great; With an outstanding new co-op mode and a campaign fueled by fierce combat, Call of Duty: Ghosts is another great addition to the blockbuster shooter franchise.;Shaun McInnis has played every Call of Duty campaign to date, but his fondest memory of the series is the chaotic joy of 18-player Domination matches on Modern Warfare's tiny Shipment map. He played Ghosts at a review event in Southern California. Travel was paid for by Activision.
Batman: Arkham Origins Review;6;Fair; Batman: Arkham Origins relies much too heavily on familiar mechanics, making it a mechanically solid but uninspired adventure.;Carolyn's favorite Batman book is Year One. Her favorite Batman actor is Michael Keaton. Her favorite Batman games are Batman: Arkham City and Batman for the NES.
Angry Birds Star Wars Review;6;Fair; The mobile classic comes to consoles, but at a much higher price.;Chris Barylick has loved, lived and breathed Star Wars pretty much since he was a fetus. And he'll never get those weeks of his life he spent camping out for the prequels back. He played around 10 hours of Angry Birds Star Wars for the purposes of this review.
Batman: Arkham Origins Blackgate Review;5;Mediocre; Batman's latest portable adventure falls on its face due to a bevy of design issues that are too glaring to ignore.;Peter has a soft spot in his heart for Super Metroid and Sunsoft's pair of Batman games on the NES, and he's fairly certain Michael Keaton is, in fact, Bruce Wayne.
Eldritch Review;7;Good; Eldritch starts strong with tense gameplay and great exploration, but loses its way before the end.;Cameron Woolsey has spent many years hiding in the shadows searching for keys and mystical artifacts, and believes that torches are for novices. For the purposes of this review, Cameron played each stage multiple times, though a few of those playthroughs happened because he forgot to watch his back.
Battlefield 4 Review;8;Great; Battlefield 4's diverse and deadly multiplayer battles once again deliver exhilarating action, while the single-player campaign struggles to find its footing.;Chris Watters has spent hundreds of hours in Battlefields past and still can't fly a jet very well. For this review, he played the PlayStation 4 and PC versions at a multi-day review event at EA, then went on to play PC, Xbox 360, and PlayStation 3 versions at home with copies provided by EA.
Assassin's Creed IV: Black Flag Review;9;Superb; Easily the most ambitious Assassin's Creed game in years, Black Flag is an outstanding adventure by any standard.;Shaun McInnis can spend hours explaining why Assassin's Creed II is his favorite game in the series, but Black Flag gives it a real run for its money. He played the PlayStation 4 version to completion over a period of several days at Ubisoft's San Francisco office. Current-gen versions were later played in GameSpot's office.
Solstice Arena Review;8;Great; Solstice Arena is speedy, engaging, and terrifically fun.;Tyler Hicks is preparing for the inevitable zom-MOBA apocalypse by hoarding all the free-to-play MOBA currencies he can find. He power-leveled to Solstice level 85 in a week.
Professor Layton and the Azran Legacy Review;7;Good; Professor Layton and the Azran Legacy has some neat puzzles and some great new minigames, but fails to step outside its comfort zone.;Lucy Ingram is an aficionado of puzzling adventure games and loves a bit of a challenge. She has followed the Professor Layton series from the onset of The Curious Village and is always eager for the next opportunity to stimulate her mind.
Just Dance 2014 Review;7;Good; There's not much new to see in Just Dance 2014, but it remains one of the most accessible and stupidly fun party games around.;Mark has reviewed nearly every dancing game that has been thrown GameSpot's way. Sadly, despite such experience, he remains absolutely terrible at dancing.
Phoenix Wright: Ace Attorney - Dual Destinies Review;8;Great; Dual Destinies rises above its expected trappings to offer a witty and insightful look at the nature of truth.;Tom has been enamored with the legal system since Colonel Jessup argued that Lieutenant Kaffee couldn't handle the truth. A veteran of the Phoenix Wright franchise, Tom contends that the last case in Trials and Tribulations is the best writing ever seen in a video game.
Wii Party U Review;5;Mediocre; There's plenty in this package, but Wii Party U's bland presentation and inconsistent game quality can take the air out of a social gaming experience.;Heidi is a firm believer that quality local multiplayer game design is an art form. She played through every single one of Wii Party U's minigames and recruited local friends to play through other modes with her. She also profusely apologizes to them for any long-term damage to their marriages as a result of said play.
Dark Matter Review;4;Poor; Style trumps substance in sci-fi survival horror side-scroller Dark Matter.;Matt Cabral has never met a derelict spaceship he didn't want to explore
Glare Review;6;Fair; Glare needed more substance to truly shine.;Jason Venter has enjoyed platformers ever since he took his first steps in the Mushroom Kingdom in 1988. He devoted several hours to Glare, time enough to finish the campaign and goof around in his favorite stages.
Rocksmith 2014 Edition Review;8;Great; Rocksmith 2014 is a vast improvement on its predecessor, and a valuable learning tool for any aspiring guitar player.;Mark has been playing guitar for the best part of 12 years, during which time he has spent an absurd amount of money collecting instruments, and drove every girlfriend he ever had to insanity with his endless practicing. He regrets nothing.
Iesabel Review;6;Fair; Iesabel gives you a cheap and quirky Diablo knockoff.;Brett Todd is more of a hacker than a slasher, although he's willing to be talked into either for a good loot drop. Over 20 hours of all of the above went into this review.
Bionic Dues Review;7;Good; Bionic Dues is a roguelike that looks like a rookie but plays like a pro.;Leif Johnson has been playing roguelikes for quite some time
The Stanley Parable Review;9;Superb; The Stanley Parable is simultaneously a brilliant exploration of the nature of choice in games and a wonderfully entertaining game in its own right.;Carolyn likes to venture off the beaten path in life as well as in games, but unfortunately, the narrator in her head isn't nearly as witty as the one in The Stanley Parable.
Deus Ex: Human Revolution - Director's Cut Review;8;Great; An absorbing world and minor but meaningful improvements make Deus Ex: Human Revolution - The Director's Cut a winning revival.;Kevin VanOrd will never forget his first glimpse of the New York skyline in the original Deus Ex, and thinks Deus Ex: Invisible War gets a bad rap. He played the Director's Cut to completion, but not before hacking into every computer terminal he could find.
Skylanders Swap Force Review;7;Good; Skylanders Swap Force is an expensive habit, but the game is so charming and fun that you'll be compelled to keep adding to your collection of cute figurines.;Chris Barylick was born in the late '70s and spent way too much time playing platform and adventure games in the '80s and '90s. He continues to obsess over the Lego Star Wars games and will happily go back to collect more coins to unlock a cool new ship, if available.
140 Review;7;Good; 140 successfully blends crisp visuals with a rhythmic soundtrack in an engaging and challenging 2D platformer.;Cameron Woolsey has spent the better part of his 20-year video game career hopping platforms and collecting keys. He still scours the Internet daily for his next retro purchase. For the purposes of this review, Cameron played through the game twice, though he is still unsure how he beat that third boss.
Montague's Mount Review;2;Terrible; Montague's Mount takes a few respectable ideas and then wholly obscures them.;Daniel Starkey is a fan of well-paced, slow-building psychological horror, but suffered through Montague's Mount so that he could see its conclusion.
Full Bore: The First Dig Review;7;Good; Full Bore's open world of puzzles is fun to explore, though it doesn't always offer incentive to solve everything.;Britton Peele has never been a boar, but he has always had a fondness for solving puzzles and for digging holes haphazardly. He uncovered roughly 65 percent of the secrets hidden underground and reached the end of the game before writing this review.
Blue Estate Prologue Review;3;Bad; Blue Estate Prologue's gross humor overshadows its few merits as a game.;Kevin VanOrd likes a good dirty joke and a titillating nip slip now and again. He completed Blue Estate Prologue twice on two difficulty settings. It wasn't any funnier the second time.
Salvation Prophecy Review;5;Mediocre; Salvation Prophecy is a charming space sim, but it lacks gravity.;Tyler Hicks has taken over the helm of the Salvation, and brought peace to all factions to stifle the alien threat.
Sonic Lost World Review;5;Mediocre; Sonic Lost World is a confused and derivative platformer that struggles to make the most of its speedy blue star.;Mark spent much of his youth chasing down Chaos Emeralds, just so he could turn a blue hedgehog yellow. He also considers Sonic & Knuckles' lock-on cartridge gaming's greatest technological achievement.
Grand Theft Auto V Review - Southland Sprawl Review;8;Great; Grand Theft Auto V is a great game. But it too often erects roadblocks when you just want to be a catalyst for chaos.;Brett Todd loves the GTA series, and untold hours of his life have gone into playing GTAs III through V.
Knock-knock Review;4;Poor; Knock-knock's unnerving atmosphere threatens to terrify, but there's nothing scary about its dull hide-and-seek gameplay.;Carolyn's been scaring herself silly with video games since she first played Haunted House for the Atari 2600. She played Knock-knock alone in the dark, empty, creepy GameSpot offices late one night.
Irritum Review;4;Poor; Irritum blends puzzle platforming with philosophical musings, but neither element will keep you rooted in this barren world.;Chris Watters relishes the precise hops and soaring leaps of a challenging platformer, though he usually doesn't seek to attain 100 percent completion. He completed 31 out of Irritum's 40 levels, collecting 47 out of 76 memories along the way.
The Wolf Among Us: Episode 1 Review - Testing My Faith Review;6;Fair; The characters and intrigue of Fables are well-represented, but something is amiss in The Wolf Among Us.;From the tropical seas to the snarky suburbs to the zombie apocalypse, Chris Watters is the veteran of many Telltale Games adventures. He likes finding a way to fit in to new roles and new worlds, and generally plays nice with his new virtual friends.
Rune Factory 4 Review;7;Good; Farming meets dungeon adventuring as this Harvest Moon spin-off makes good in its first foray onto the 3DS.;"As with many N64 owners in 1999, Miguelâ€™s Harvest Moon ""gateway"" installment was Harvest Moon 64. As much as he enjoys the franchise, Miguel would not have approved of Rune Factory had it been a mere Harvest Moon medieval reskin. The 55 hours he spent on Rune Factory 4 flew by unexpectedly."
Rise of Venice Review;7;Good; Have a little patience with some of Rise of Veniceâ€™'s quirks, and you will soon enjoy forging a trading empire on the seas of the Renaissance-era Mediterranean.;Brett Todd thinks only suckers pay retail, although he doesnâ€™'t mind paying a few bucks for a good economic sim. He sailed the high seas buying low and selling high for about 25 hours for the purposes of this review.
Disgaea D2: A Brighter Darkness Review;8;Great; Disgaea D2: A Brighter Darkness is one of the funniest and freshest role-playing games of the year.;Heidi is a strategy RPG fanatic whose personal record for most time spent on a Disgaea title is 250-plus hours of Disgaea 2. For the purposes of this review, she put 45 hours into Disgaea D2, the majority of which was spent futzing with the Item World and finding ways to exploit the detailed gameplay mechanics.
Prime World Review;6;Fair; Prime World tries to innovate on the base MOBA gameplay, but lacks soul.;"Tyler Hicks likes to wave his cane at new MOBA games, recalling tales of ""his day"" when the StarCraft map Aeon of Strife and its spin-offs were the only creep-slaying game modes around. For this review, he reached Castle level 13 and played about 25 hours."
A.R.E.S. Extinction Agenda EX Review;6;Fair; A.R.E.S. Extinction Agenda EX is a generally satisfying homage to a beloved action franchise.;Jason Venter has repeatedly cleared most Mega Man X games, and still loves a good platformer. He spent around 6 hours clearing both A.R.E.S. campaigns for the purposes of this review.
League of Legends Review;9;Superb; League of Legends is a free-to-play multiplayer phenomenon that has cemented itself as the cornerstone of its genre.;"Tyler Hicks likes to wave his cane at new-coming MOBA titles, recalling tales of ""his day"" when the StarCraft map Aeon of Strife and its spin-offs were the only creep-slaying game modes around. He's played several hundred hours of League of Legends, and has no plans to stop anytime soon."
The Wolf Among Us: Episode 1 - Faith Review;8;Great; The heavyhearted first episode of The Wolf Among Us fully cloaks you in its bloody mystery.;"Kevin VanOrd wasn't intimately familiar with the Fables universe until he started playing The Wolf Among Us, at which point he voraciously started consuming the comics. For this review, he played the episode three times, making different choices each time. However, he still has one playthrough he considers ""his,"" and looks forward to seeing the tale through to its conclusion."
Grand Theft Auto Online Review;7;Good; Grand Theft Auto Online often rises above its troubles to become a delightfully diverse open-world escapade.;Carolyn has been a huge fan of the Grand Theft Auto games ever since she hit the streets of Liberty City in GTA III. She is definitely not currently wanted by police in 17 states.
The Walking Dead: 400 Days - A Noble Experiment Review;7;Good; While inconsistent as a whole, The Walking Dead: 400 Days provides a few terrific snapshots into the experiences of those surviving the zombie apocalypse.;Shaun McInnis is a veteran of the zombie apocalypse and Telltale's The Walking Dead ranks as one of his all-time favorites in the genre. He would prefer to pretend that The Walking Dead: Survival Instinct never existed.
Beyond: Two Souls Review;9;Superb; Beyond: Two Souls is a fascinating experience that expertly links story and mechanics to further your connection to the world.;Tom vehemently defends David Cage's previous game Heavy Rain--plot holes and all--and wishes more developers would break free of industry conventions to create wholly unique experiences.
BioShock Infinite - A Fan Scorned Review;4;Poor; The beauty of BioShock Infinite is only skin deep as tedious combat and a tiresome story overshadow its artistic pleasures.;The original BioShock is one of Tom's favorite games ever. He will most likely love any game that tells a fascinating story and uses the mechanics to build on those themes.
Disney Infinity - A Parent's Take Review;8;Great; In our Other Take on Disney Infinity, we look at the game from a parent's point of view and see how suitable the game is for junior players.;Randolph Ramsay played Disney Infinity with his four-year-old son, but also played quite a bit on his own (about 20 hours in total). He's had minimal exposure with other toy-based games, but did play Skylanders for about two hours once with an 11-year-old as a tutor.
Card Hunter Review;8;Great; Card Hunter's fusion of tabletop role-playing games and trading cards is easy to get into and hard to pull away from.;Daniel Starkey's first review for GameSpot was for Starseed Pilgrim, and he's been part of the freelancing team ever since!
Shadow Warrior Review;7;Good; Shadow Warrior's fiery action reaches into the past, but its sense of progression is entirely modern.;Kevin VanOrd likes a good old-school shooter and a good dirty joke. After refreshing his memories with a bit of Wang-focused fun with the original Shadow Warrior, he was glad to see that the remake lived up to its legacy. If you consider genitalia humor to be a legacy, anyway.
NBA 2K14 Review;8;Great; By offering further refinements to already impressive controls and animations, NBA 2K14 is one step closer to bringing the real sport to the digital world.;Tom has been cheering on the Indiana Pacers for more than two decades, and has been playing basketball games for just as long. The days of Arch Rivals are thankfully long over.
Alien Rage Review;5;Mediocre; Alien Rage is a generic shooter notable only for its intense difficulty.;Daniel Shannon still remembers the day when his family got a 486 with a CD-ROM drive. He used that PC to play an immense amount of Tie Fighter, Civilization 2, and Doom. For the purposes of this review, Daniel beat Alien Rageâ€™s campaign on Hard, a task that took him around 17 hours.
Scribblenauts Unmasked Review;5;Mediocre; An extensive cast of DC characters can't help Scribblenauts Unmasked overcome the dangers posed by its own flawed internal logic.;Carolyn Petit had never played a Scribblenauts game before, but she has been saving universes with the power of her imagination ever since she saw The NeverEnding Story as a child.
Rain Review;7;Good; Rain uses chilling atmosphere and a heartfelt story to draw you in to this endearing adventure.;Nothing makes Tom feel like a brain champion quite like solving a tricky puzzle. And when such puzzles are complemented by a moving story and evocative aesthetics, that's even better.
Pokemon X/Y Review;8;Great; Pokemon X and Y benefit greatly from their leap to a fully 3D world, and have plenty to offer both veterans and novices alike.;Randolph Ramsay played Pokemon obsessively in his youth, and particularly loved the original 151 in Red/Blue. While he skipped the Black/White games, he still managed the watch the anime, so heâ€™s Team Snivy all the way. Randolph finished Pokemon Y in around 35 hours for the purposes of this review.
Pokemon X/Y Review;8;Great; Pokemon X and Y benefit greatly from their leap to a fully 3D world, and have plenty to offer both veterans and novices alike.;Randolph Ramsay played Pokemon obsessively in his youth, and particularly loved the original 151 in Red/Blue. While he skipped the Black/White games, he still managed the watch the anime, so heâ€™s Team Snivy all the way. Randolph finished Pokemon X/Y in around 35 hours for the purposes of this review.
Armored Core: Verdict Day Review;6;Fair; Brutal robot-destroying fun is buried deep, but this giant mech battling series could still use an oil change.;Nathan Meunier's love affair with giant robot warfare dates all the way back to the original MechWarrior on MS-DOS. It's been a while since he last dug into the Armored Core series, but he's not one turn down any opportunity to hop into a mech cockpit. For this review, Nathan spent approximately 22 hours pummeling big metal things across the solo campaign and multiplayer war.
MechWarrior Online Review;6;Fair; MechWarrior Online gets the feel of mech combat right, but its lack of variety taints the experience.;Leif Johnson likes big robots and massive online games.
FIFA 14 Review;8;Great; FIFA 14 is an exercise in subtle refinements and clever tweaks that transforms the familiar into something that feels fresh, exciting, and always engaging.;"Mark is based in the UK, where soccer is known as ""football"", and from where he's been reviewing FIFA and PES for the last three years."
Doorways Review;4;Poor; Doorways shoots for scares, but elicits yawns.;In the 90 minutes it took to complete the first two chapters of Doorways, Kevin VanOrd pined for all the great scary games that he could have been playing instead.
Marlow Briggs and the Mask of Death Review;7;Good; It may not be novel, but Marlow Briggs and the Mask of Death is still a boisterous and bombastic blast.;Kevin VanOrd likes big explosions and cheesy humor, which Marlow Briggs has an abundance of. He spent about four hours completing the game's campaign, and another hour fooling around on hard difficulty.
Takedown: Red Sabre Review;2;Terrible; Takedown: Red Sabre is an unfinished, broken mess of a tactical shooter that offers not even one redemptive bright spot.;Brett Todd has reviewed more bad games for GameSpot--and awesome ones too--than he cares to admit.
Etrian Odyssey Untold: The Millenium Girl Review;8;Great; The original Etrian Odyssey is remade with refined customization, enchanting visuals, and an intriguing story.;Having followed Etrian Odyssey since its inception, Miguel was curious how the series would come full circle with this remake. To play the story mode first and then to take that campaign's bonuses into a New Game+ playthrough of the classic mode resulted in 65 hours of play time. Miguel's been an amateur RPG cartographer ever since he used graph paper to map out his brother's exploits in the original Wizardry.
Dragon Fantasy Book II Review;3;Bad; Dragon Fantasy Book II is a pale shadow of the Super Nintendo role-playing games that it is inspired by.;Brian Albert was a beloved freelancer at GameSpot until he joined the illustrious staff at IGN! We miss you, Brian.
Final Fantasy XIV Online: A Realm Reborn Review;7;Good; It's no revolution, but Final Fantasy XIV: A Realm Reborn is a beautiful and charming online game with plenty to see and do.;Kevin VanOrd is a lifelong RPG lover and violin player. When he isn't busy building PCs and composing symphonies, he watches American Dad reruns with his fat cat, Ollie.
F1 2013 Review;8;Great; F1 2013 takes you on a nostalgia trip into the history of Formula One, while compelling new modes and subtle improvements layer atop a familiar, but winning formula.;Danny has been a GameSpot community member since 2005. Since joining the staff as a video journalist in 2011 he has lost touch with most of his friends and family. He looks forward to the day achievement points become legal tender so he can return to Ireland and fix its broken economy.
Steamworld Dig Review;7;Good; SteamWorld Dig is a charming, atmospheric exploration adventure, but it grinds to a halt just when it starts going full steam.;Heidi Kemps likes long role-playing games, intricate fighting games, and all things Japanese.
Foul Play Review;6;Fair; It's hardly foul, but good ideas and charming animations aren't enough to save Foul Play from repetition.;Britton Peele is a freelance writer for GameSpot and a Digital Entertainment Editor for The Dallas Morning News. Find him on Twitter @BrittonPeele.
Killzone: Mercenary Review;7;Good; Killzone: Mercenary is a standard but enjoyable shooter and one of the best-looking games on the Vita.;Before Killzone: Mercenary, the only Killzone game Carolyn had played was Killzone 2. Her writing services are not available to the highest bidder.
Grand Theft Auto V Review;9;Superb; Grand Theft Auto V is an outrageous, exhilarating, sometimes troubling crime epic that pushes open-world game design forward in amazing ways.;Carolyn has been a huge fan of the Grand Theft Auto games ever since she hit the streets of Liberty City in GTA III. She is definitely not currently wanted by police in 17 states.
PES 2014 Review;6;Fair; PES 2014 moves ever closer towards simulation, and in doing so forgets exactly what makes the series so different and so much fun in the first place.;"Mark is based in the UK, where soccer is known as ""football"", and from where he's been reviewing FIFA and PES for the last three years."
The Legend of Zelda: The Wind Waker HD Review;8;Great; The Legend of Zelda: Wind Waker HD is a lovingly updated version of a timeless, though flawed, adventure.;Martin remembers the excitement of preordering the original GameCube version back in 2003. Art from the game has regularly featured up as his desktop wallpaper over the past decade.
Arma III Review;8;Great; ARMA III delivers sprawling geography, intense online military engagement, and a dedicated community. Just be prepared to give as much as you take.;Kevin VanOrd is a lifelong RPG lover and violin player. When he isn't busy building PCs and composing symphonies, he watches American Dad reruns with his fat cat, Ollie.
Kingdom Hearts HD 1.5 ReMIX Review;7;Good; The Kingdom Hearts HD 1.5 Remix compilation makes beautiful magic, but is still flawed in familiar places.;Jason Venter has finished hundreds of video games since discovering the hobby in the late '80s, and he hopes to play and write about hundreds more before they bury him.
NHL 14 Review;6;Fair; NHL 14 adds little of note to NHL 13 aside from better hitting, more fighting, and a disappointing NHL 94 retro mode.;Brett Todd has reviewed more bad games for GameSpot--and awesome ones too--than he cares to admit.
NHL 14 Review;6;Fair; NHL 14 adds little of note to NHL 13 aside from better hitting, more fighting, and a disappointing NHL 94 retro mode.;Brett Todd has reviewed more bad games for GameSpot--and awesome ones too--than he cares to admit.
Legend of Dungeon Review;6;Fair; Combining beat-'em-up action with randomized levels and loot, Legend of Dungeon offers just enough variety to stem the tide of repetitive gameplay.;Britton Peele is a freelance writer for GameSpot and a Digital Entertainment Editor for The Dallas Morning News. Find him on Twitter @BrittonPeele.
Outlast Review;7;Good; Outlast is a weapons-free survival horror adventure that elicits frequent bouts of dread.;Leif Johnson is a prolific freelancer from Chicago who confuses people by speaking with an East Texas accent. Somehow a childhood of herding cattle and raising emus prepared him for researching medieval texts for several years, but these days he fills his free time by smashing bad guys with big swords. In RPGs, of course.
Diablo III Review;8;Great; Diablo III's captivating cooperative loot-driven gameplay makes the transition to console intact.;Carolyn's been venturing into monster-infested dungeons in search of riches since the days of Gauntlet. She's always looking for gear that will let her spend less time sleeping and spend more time playing games.
Total War: Rome II Review;8;Great; Total War: Rome II turns the battlefields of Ancient Europe into an engrossing strategic theater.;Dan Starkey's first review for GameSpot was for Starseed Pilgrim, and he's been pleased to remain on hand ever since!
Teenage Mutant Ninja Turtles: Out of the Shadows Review;3;Bad; Game-breaking glitches and a poor camera make TMNT: Out of the Shadows a bruised and battered shell of what it could have been.;Brian Albert was a beloved freelancer at GameSpot until he joined the illustrious staff at IGN! We miss you, Brian.
Shelter Review;7;Good; Shelter doesn't reach the high level of profundity it aims for, but this journey through the wilds makes a few poignant points all the same.;Kevin VanOrd has a cat named Ollie who refuses to play bass in Rock Band.
Puppeteer Review;9;Superb; Wildly imaginative and brimming with style, Puppeteer is a fantastic platformer that's heaps of fun for kids and adults alike.;Mark managed to get all 121 stars in Mario Galaxy and all 242 in Mario Galaxy 2, which he commemorates with framed laminated screenshots on his desk. Suffice to say, he's quite the platformer fan.
Hatsune Miku: Project Diva F Review;7;Good; Rhythm fans will find a lot of music, challenge, and customization to love as they get to know Hatsune Miku: Project Diva F.;Jason Venter has finished hundreds of video games since discovering the hobby in the late '80s, and he hopes to play and write about hundreds more before they bury him.
Castlevania: Lords of Shadow Ultimate Edition Review;7;Good; The Ultimate Edition of Castlevania: Lords of Shadow breathes new life into the three-year-old game through improved graphics and extra content.;Castlevania's been a favorite series of Peter's since the Nintendo Entertainment System, starting with Castlevania III: Dracula's Curse.
Amnesia: A Machine for Pigs Review;8;Great; Amnesia: A Machine for Pigs is extremely disturbing, more than a little disgusting, and impossible to stop playing.;Brett Todd has reviewed more bad games for GameSpot--and awesome ones too--than he cares to admit.
KickBeat Review;7;Good; KickBeat is a plucky new contender in the rhythm gaming arena, with punishing difficulty and pumping industrial beats.;Brittany Vincent has been freelancing for GameSpot ever since her review for World of Warcraft: Mists of Pandaria.
Tales of Xillia Review;7;Good; Tales of Xillia is a gorgeous and fast-paced Japanese role-playing game that suffers from a few questionable design choices.;Heidi Kemps likes long role-playing games, intricate fighting games, and all things Japanese.
Spelunky Review;9;Superb; Major improvements to the cooperative mode coupled with the Vita's portability make this the best version of the already excellent Spelunky.;Tom has a two-hour commute to work each day. Don't feel sorry for him, though, because he happily rides the rails while trying desperately to finally reach Hell.
Diablo III Review;8;Great; Diablo III's captivating cooperative loot-driven gameplay makes the transition to console intact.;Carolyn's been venturing into monster-infested dungeons in search of riches since the days of Gauntlet. She's always looking for gear that will let her spend less time sleeping and spend more time playing games.
Space Hulk Review;6;Fair; Its tense missions retain the spirit of the board game, but Space Hulk is ultimately a disappointing take on the Games Workshop classic.;Brett Todd has reviewed more bad games for GameSpot--and awesome ones too--than he cares to admit.
Lost Planet 3 Review;5;Mediocre; Lost Planet 3 is both less exasperating and less diverse than its predecessors.;Kevin VanOrd has a cat named Ollie who refuses to play bass in Rock Band.
Lost Planet 3 Review;5;Mediocre; Lost Planet 3 is both less exasperating and less diverse than its predecessors.;Kevin VanOrd has a cat named Ollie who refuses to play bass in Rock Band.
Race the Sun Review;8;Great; Race the Sun is an elegant endeavor, pairing slick action and stiff challenge with systems that make you want to come back day after day.;"Even though he recognizes the term ""endless runner"" for the oxymoron it is, Chris Watters still enjoys trying to press onward and outdo his friends in petty leaderboard squabbles."
Lost Planet 3 Review;5;Mediocre; Lost Planet 3 is both less exasperating and less diverse than its predecessors.;Kevin VanOrd is a lifelong RPG lover and violin player. When he isn't busy building PCs and composing symphonies, he watches American Dad reruns with his fat cat, Ollie.
Rayman Legends Review;8;Great; The strange and delightful Rayman Legends offers a dizzying adventure whose only low point is in the few touch-screen stages.;Tom is an unabashed lover of platforms. He has lost hours in everything from the Mushroom Kingdom to the warped world of Super Meat Boy, only shying away from those dreadful Sonic games.
Disney Castle of Illusion HD Review;7;Good; Simple, satisfying gameplay and Disney-quality art make Castle of Illusion a remake worth exploring.;Brian Albert was a beloved freelancer at GameSpot until he joined the illustrious staff at IGN! We miss you, Brian.
Flashback Review;4;Poor; Flashback is a great-looking remake of a classic game, but playing it is an exercise in confusion and frustration.;Dan Starkey's first review for GameSpot was for Starseed Pilgrim, and he's been pleased to remain on hand ever since!
Killer Is Dead Review;5;Mediocre; Killer Is Dead is filled with Suda 51 eccentricity, but it struggles to stay relevant with inconsistent combat, a poorly told story, and some awkwardly sleazy moments.;Mark is a senior staff writer based out of the UK, the home of heavy metal and superior chocolate.
Divekick Review;7;Good; Divekick's single-player game is lacking, but this two-button brawler turns into feet-flying fun with friends.;
Madden NFL 25 Review;6;Fair; Madden NFL 25 marks a quarter-century of football gaming with a disappointing addition to this venerable franchise.;
Madden NFL 25 Review;6;Fair; Madden NFL 25 marks a quarter-century of football gaming with a disappointing addition to this venerable franchise.;
Payday 2 Review;7;Good; Payday 2 brings crime to life with an alluring intensity that entertains in spite of some rough edges.;Chris enjoys aiming down virtual sights, traipsing through fantastical lands, and striving to be grossly incandescent.
Rayman Legends Review;9;Superb; Rayman Legends melds abject strangeness with diverse platforming to create an adventure that's as enjoyable as it is challenging.;Tom marveled at the stunning sights while bopping his head to the music during the course of the dozen or so hours he spent in Rayman's shoes. Though not as challenging as he likes his platformers, Legends exuded so much joy that Tom was helpless to resist.
Disney Infinity Review;6;Fair; The greatness of Disney Infinity's Toybox is undermined by the carelessness of its structured content.;Kevin VanOrd is a lifelong RPG lover and violin player. When he isn't busy building PCs and composing symphonies, he watches American Dad reruns with his fat cat, Ollie.
Payday 2 Review;7;Good; Payday 2 brings crime to life with an alluring intensity that entertains in spite of some rough edges.;Chris Watters doesn't do much of his home gaming on PC as a matter of comfort, but for Payday 2, he makes an exception. A heist without headset chatter is a breeding ground for Waingros.
Payday 2 Review;7;Good; Payday 2 brings crime to life with an alluring intensity that entertains in spite of some rough edges.;Chris enjoys aiming down virtual sights, traipsing through fantastical lands, and striving to be grossly incandescent.
Europa Universalis IV Review;9;Superb; Complex and rewarding strategizing makes the fourth game in the Europa Universalis dynasty shine.;"Daniel Shannon still remembers the day when his family got a 486 with a CD-ROM drive. He used that PC to play an immense amount of Tie Fighter, Civilization 2, and Doom. Since he grew up without a console he insists that they are a ""fad"" and refers to them collectively as ""Nintendos."" Too this day he is skeptical about anything that doesn't use either a flightstick or a keyboard and mouse."
The Bureau: XCOM Declassified Review;6;Fair; It delivers some enjoyable stretches of shooting action, but The Bureau: XCOM Declassified too often transforms the series' signature tension into tedium.;Kevin VanOrd is a lifelong RPG lover and violin player. When he isn't busy building PCs and composing symphonies, he watches American Dad reruns with his fat cat, Ollie.
The Bureau: XCOM Declassified Review;6;Fair; It delivers some enjoyable stretches of shooting action, but The Bureau: XCOM Declassified too often transforms the series' signature tension into tedium.;Kevin VanOrd has a cat named Ollie who refuses to play bass in Rock Band.
Divekick Review;7;Good; Divekick's single-player game is lacking, but this two-button brawler turns into feet-flying fun with friends.;Heidi Kemps likes long role-playing games, intricate fighting games, and all things Japanese.
